                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3082,                 1.3251,                 1.1899,                0.71587,                0.56975,                0.67946,                0.43473,                 1.2027,                 1.8536,                 1.1949,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2655,                 1.3188,                  1.142,                0.76721,                0.76884,                0.84321,                0.54042,                 1.2409,                 1.1845,                 1.1746,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3407,                 1.4146,                 1.1408,                0.76103,                0.75214,                0.81963,                0.57205,                  1.052,                 1.2097,                 1.1274,               0.001307,               0.001307,               0.001307
                     37,                 1.2553,                 1.3533,                 1.1049,                0.77537,                0.77387,                0.82325,                0.55375,                  1.143,                 1.2933,                 1.1482,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2335,                 1.4154,                 1.1091,                 0.7707,                0.79382,                0.81326,                 0.5565,                  1.067,                 1.1297,                 1.1072,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2477,                 1.3198,                 1.1428,                0.68262,                0.60525,                0.65165,                0.44808,                 1.1722,                 1.6116,                 1.1963,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2941,                 1.3157,                 1.1219,                0.77881,                0.79621,                0.86302,                0.55827,                 1.1956,                 1.1418,                  1.127,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1761,                 1.1957,                 1.0876,                0.76304,                0.82915,                0.86639,                0.61091,                 1.0429,                 1.0753,                 1.0962,               0.001208,               0.001208,               0.001208
                     42,                 1.2534,                 1.1999,                 1.0876,                0.84097,                0.76884,                0.88529,                0.62691,                 1.0342,                 1.0208,                 1.0933,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1929,                 1.2023,                 1.1299,                0.72853,                0.74874,                0.80274,                0.54829,                 1.0496,                  1.144,                 1.1009,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2255,                 1.2241,                 1.0984,                0.74766,                 0.8392,                0.85646,                0.61027,                 1.0514,                  1.141,                 1.0954,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1517,                 1.1504,                 1.0785,                0.85043,                0.78894,                0.88919,                0.64636,                0.99517,                 1.0454,                 1.0628,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1466,                 1.2034,                  1.063,                0.78641,                 0.8191,                0.86668,                0.63297,                0.99493,                 1.0103,                 1.0735,               0.001109,               0.001109,               0.001109
                     47,                 1.1108,                 1.1914,                 1.0742,                0.71653,                0.62239,                0.70785,                 0.5025,                 1.0687,                 1.4844,                 1.1416,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1122,                 1.1614,                 1.0881,                0.81569,                0.79899,                0.88049,                0.63232,                 1.0049,                 1.0952,                 1.0648,              0.0010694,              0.0010694,              0.0010694
